name,price,sizes,category
MAHLICH PUFFER JACKET,300€,"['XS', 'S', 'M', 'L', 'XL']",/all-products
LINK REVERSIBLE PUFFER BLACK / ORANGE,280€,"['XS', 'S', 'M', 'L', 'XL']",/all-products
PROOF JACKET BLACK,220€,"['XS', 'S', 'M', 'L', 'XL']",/all-products
DUROY JACKET BROWN,150€,"['XS', 'S', 'M', 'L', 'XL']",/all-products
BALLER QUARTER ZIP GREEN / TAUPE,110€,"['XS', 'S', 'M', 'L', 'XL']",/all-products
BALLER QUARTER ZIP NAVY / BLACK,110€,"['XS', 'S', 'M', 'L', 'XL']",/all-products
BOMBER JACKET BLACK,220€,"['XS', 'S', 'M', 'L', 'XL']",/all-products
SOURI FLEECE JACKET BEIGE,130€,"['XS', 'S', 'M', 'L', 'XL']",/all-products
TRACK JACKET BLACK,110€,"['XS', 'S', 'M', 'L', 'XL']",/all-products
PRIMO TRACKSUIT JACKET BLACK,125€,"['XS', 'S', 'M', 'L', 'XL']",/all-products
TEDDY JACKET BROWN,130€,"['S', 'M', 'L', 'XL']",/all-products
LOOP QUARTER ZIP JACKET TOFFEE,115€,"['XS', 'S', 'M', 'L', 'XL']",/all-products
LOOP QUARTER ZIP JACKET GREEN,115€,"['XS', 'S', 'M', 'L', 'XL']",/all-products
ONLY DENIM JACKET BEIGE,130€,"['XS', 'S', 'M', 'L', 'XL']",/all-products
ONLY DENIM JACKET  GREY,130€,"['XS', 'S', 'M', 'L', 'XL']",/all-products
SOL BLOCK DENIM JACKET BLUE,150€,"['XS', 'S', 'M', 'L', 'XL']",/all-products
NAUTIQUE JACKET BLACK / LIGHT KHAKI,130€,"['XS', 'S', 'M', 'L', 'XL']",/all-products
VITTO HOODED CHECKED JACKET BLACK,125€,"['XS', 'S', 'M', 'L', 'XL']",/all-products
HIDING KANGURU JACKET NAVY,125€,"['XS', 'S', 'M', 'L', 'XL']",/all-products
HIDING KANGURU JACKET BLACK,125€,"['XS', 'S', 'M', 'L', 'XL']",/all-products
DUNE TRACKSUIT JACKET TERRACOTTA,115€,"['XS', 'S', 'M', 'L', 'XL']",/all-products
DUNE TRACKSUIT JACKET BLACK,115€,"['XS', 'S', 'M', 'L', 'XL']",/all-products
MOMENT WIND QUARTER ZIP GREEN,110€,"['XS', 'S', 'M', 'L', 'XL']",/all-products
FAN JACKET BROWN/BEIGE/BROWN,200€,"['S', 'M', 'L', 'XL']",/all-products
